#{"t_start": 1673880204.1853688, "env_id": "TestEnvironment-v1"}
r,l,t
64.778991,100,192.441175
97.419519,100,192.9851
73.402988,100,193.355005
82.687829,100,193.726142
78.999586,100,194.084804
80.967934,100,194.490673
80.349889,100,194.91941
78.480371,100,195.279727
56.657167,100,195.667424
79.092819,100,196.031799
56.213673,100,196.396563
95.566656,100,196.777627
80.203872,100,197.142975
80.954388,100,197.507883
89.174204,100,197.912027
76.927362,100,198.298112
54.086419,100,198.653027
69.526489,100,199.002967
70.049473,100,199.362214
60.336484,100,199.712305
77.047598,100,200.062616
90.60103,100,200.475889
94.316006,100,200.872359
59.160666,100,201.236717
62.247506,100,201.599619
66.586333,100,201.953107
71.680833,100,202.346539
69.116755,100,202.722751
79.240231,100,203.066109
93.063876,100,203.44841
66.242831,100,203.799376
64.253375,100,204.149807
54.395158,100,204.500928
96.797806,100,204.899829
80.238396,100,205.255302
88.840496,100,205.638811
62.499866,100,205.988747
64.927885,100,206.33374
93.990232,100,206.749014
66.240885,100,207.149336
81.474196,100,207.529184
78.568985,100,207.872405
80.514564,100,208.224221
81.942618,100,208.575812
62.93831,100,208.917815
54.766401,100,209.267917
80.849984,100,209.659138
81.65157,100,210.025414
65.189511,100,210.379223
58.468314,100,210.735698
87.682663,100,211.109987
74.127035,100,211.454355
93.696146,100,211.82992
69.486345,100,212.172173
63.526914,100,212.539706
78.918731,100,212.96023
79.793063,100,213.316093
97.087908,100,213.720275
75.194709,100,214.201399
78.433784,100,214.667086
82.977305,100,215.012743
51.185589,100,215.352143
60.596796,100,215.694027
96.859677,100,216.075354
51.541943,100,216.420829
80.010886,100,216.796423
95.386349,100,217.213043
82.075665,100,217.58531
79.989871,100,217.954384
79.947454,100,218.293068
51.030224,100,218.634073
95.552924,100,219.084222
43.410077,100,219.500993
65.907136,100,219.970396
91.558995,100,220.401681
70.853728,100,220.751316
79.091198,100,221.172508
95.104755,100,221.558901
60.293982,100,221.923394
76.273945,100,222.283288
77.995511,100,222.639764
97.280432,100,223.040899
80.285694,100,223.394417
97.605254,100,223.775666
59.540822,100,224.129677
81.700669,100,224.491185
67.467497,100,224.850415
78.506964,100,225.205032
68.00539,100,225.553477
62.625359,100,225.911351
68.435036,100,226.255936
66.450104,100,226.603019
72.289876,100,226.952511
95.531969,100,227.38204
79.997076,100,227.7392
61.653322,100,228.089025
56.251106,100,228.433092
80.480194,100,228.788854
78.752836,100,229.164845
71.920378,100,229.516979
82.095617,100,229.874079
77.874596,100,230.244616
76.055727,100,230.602567
75.202012,100,230.956928
77.507265,100,231.327342
63.636053,100,231.706786
62.493149,100,232.145902
78.840548,100,232.595304
61.568085,100,232.973513
79.25804,100,233.327478
84.273596,100,233.713354
67.622469,100,234.066355
53.15521,100,234.414056
66.854162,100,234.760108
81.95922,100,235.116178
97.240345,100,235.508062
56.599147,100,235.879569
68.236351,100,236.245858
81.316609,100,236.604594
62.135479,100,236.955182
55.594055,100,237.294863
51.646633,100,237.720535
94.245414,100,238.217463
73.088124,100,238.603962
79.414173,100,238.984272
78.663383,100,239.35144
42.60617,100,239.71588
73.155636,100,240.085069
95.735517,100,240.475887
83.506329,100,240.899828
50.890884,100,241.389179
64.199754,100,241.833656
82.357279,100,242.191282
81.384001,100,242.539623
50.856388,100,242.890867
87.901545,100,243.265505
91.985418,100,243.653022
82.68867,100,244.012072
69.610004,100,244.409822
82.697037,100,244.775576
91.986333,100,245.166067
82.096,100,245.53278
81.040074,100,245.89639
70.400192,100,246.374046
83.851265,100,246.908433
82.201894,100,247.3082
83.921162,100,247.658547
81.684604,100,248.041085
50.906768,100,248.392212
90.269457,100,248.759771
29.160182,100,249.11166
24.736125,100,249.464956
79.384577,100,249.807376
82.319191,100,250.156414
80.457529,100,250.504498
83.019496,100,250.853169
10.628621,100,251.208118
30.3135,100,251.55674
13.514249,100,251.907987
81.310989,100,252.274938
87.477334,100,252.809329
92.027752,100,253.194325
72.06097,100,253.560899
22.810036,100,253.915147
31.010936,100,254.280828
95.068316,100,254.706686
82.739123,100,255.099532
33.053933,100,255.445742
27.358598,100,255.832604
38.759868,100,256.197453
50.623261,100,256.557822
58.66263,100,256.966452
54.650645,100,257.365789
86.607929,100,257.75441
61.749521,100,258.124902
73.645693,100,258.544939
82.155095,100,258.961525
80.924195,100,259.356302
42.417707,100,259.778031
91.127968,100,260.236416
65.439617,100,260.58786
82.330274,100,260.929863
65.271845,100,261.267151
78.894933,100,261.611207
80.342636,100,261.972715
72.34647,100,262.322265
96.369939,100,262.704683
52.727742,100,263.05167
98.121346,100,263.430881
84.444153,100,263.769382
86.400281,100,264.137985
80.189113,100,264.48402
80.78806,100,264.875603
81.540688,100,265.229605
67.399665,100,265.573102
61.668069,100,265.9162
83.973015,100,266.264232
82.127397,100,266.620477
76.083268,100,267.022939
81.508147,100,267.413654
54.534222,100,267.771033
61.983412,100,268.150562
79.948699,100,268.675735
76.839101,100,269.096352
80.120769,100,269.474008
87.877348,100,269.858574
65.415503,100,270.220669
58.894749,100,270.569868
81.353501,100,270.913742
79.390049,100,271.266245
51.760004,100,271.624106
90.036075,100,272.050528
57.033961,100,272.392295
98.006515,100,272.776089
93.516573,100,273.159196
95.133257,100,273.549811
82.204087,100,273.907048
57.736975,100,274.258729
92.235496,100,274.648343
83.23275,100,275.02548
83.181798,100,275.451641
65.255846,100,275.866783
78.708258,100,276.273059
83.460476,100,276.657914
75.504826,100,277.134151
81.307654,100,277.567028
82.886481,100,277.955188
81.539556,100,278.347852
82.920385,100,278.721339
68.879452,100,279.087629
79.175492,100,279.452172
90.821519,100,279.851461
80.278218,100,280.263809
59.948592,100,280.680537
72.72227,100,281.03111
97.353164,100,281.457779
93.287777,100,281.837956
82.732722,100,282.191067
81.878195,100,282.56167
61.083718,100,282.905728
91.424452,100,283.308882
78.644798,100,283.683706
60.99754,100,284.025384
83.503087,100,284.376002
63.059427,100,284.725359
80.013302,100,285.088343
63.181074,100,285.438385
81.547384,100,285.785837
75.663942,100,286.135967
59.355516,100,286.531186
88.971021,100,286.911773
98.071771,100,287.314502
78.323338,100,287.673906
86.971539,100,288.051774
81.683193,100,288.413892
88.691266,100,288.791899
93.950272,100,289.219425
78.142598,100,289.589883
87.915572,100,289.998629
79.623001,100,290.343435
82.576773,100,290.691638
66.333705,100,291.048717
61.927103,100,291.395322
94.479453,100,291.817329
80.343928,100,292.248966
84.385956,100,292.611978
83.517784,100,292.965919
83.474888,100,293.324026
95.881339,100,293.809244
82.688526,100,294.212925
84.281513,100,294.558923
83.644713,100,294.914705
71.041201,100,295.262836
79.223564,100,295.606036
81.059209,100,295.962408
81.758099,100,296.361304
84.032758,100,296.754064
91.726601,100,297.137361
82.399518,100,297.585871
96.519957,100,298.093115
96.982042,100,298.664148
98.131182,100,299.093583
97.093041,100,299.472756
84.445813,100,299.812981
81.998507,100,300.172751
98.399031,100,300.582783
80.983024,100,300.938848
80.863831,100,301.289175
98.615098,100,301.678514
82.542952,100,302.079729
82.92652,100,302.430931
74.568933,100,302.795347
97.824258,100,303.262383
71.004756,100,303.653694
83.860865,100,304.009915
81.97288,100,304.355845
82.744761,100,304.715312
73.590828,100,305.068374
84.293544,100,305.411431
83.141779,100,305.773447
95.321071,100,306.146098
77.769512,100,306.496587
74.692208,100,306.880534
97.84895,100,307.277999
62.892825,100,307.637691
64.903027,100,307.990935
83.050061,100,308.357939
72.906955,100,308.720913
89.911652,100,309.135691
92.186298,100,309.65707
80.493523,100,310.128384
80.447987,100,310.509947
82.819257,100,310.888904
73.578154,100,311.258041
67.018762,100,311.618207
74.712437,100,311.966819
82.104744,100,312.331472
84.292664,100,312.704831
71.621864,100,313.080174
71.360954,100,313.494787
94.764393,100,313.900777
82.369978,100,314.257761
72.191271,100,314.626348
70.511749,100,315.005795
83.404527,100,315.373451
82.440001,100,315.764929
80.150063,100,316.123265
81.531486,100,316.471699
80.995106,100,316.849388
98.917915,100,317.230479
76.608536,100,317.609447
79.904219,100,317.963719
85.274944,100,318.322238
93.386364,100,318.712392
78.418724,100,319.069595
83.749662,100,319.526567
81.414063,100,319.919933
80.560204,100,320.296986
85.366819,100,320.670638
84.731211,100,321.049207
83.62328,100,321.410444
82.499596,100,321.768886
80.143641,100,322.110209
70.152752,100,322.488619
80.079917,100,322.832998
83.302812,100,323.179122
83.862799,100,323.534847
85.930399,100,323.888811
84.286217,100,324.233929
96.203285,100,324.609872
76.117362,100,324.958817
83.8167,100,325.308486
80.231023,100,325.687382
97.444082,100,326.088508
80.426794,100,326.43072
77.140933,100,326.770756
96.667553,100,327.159393
81.705442,100,327.536716
92.360833,100,327.922598
84.715147,100,328.301471
83.518753,100,328.677619
75.998978,100,329.034223
76.600974,100,329.378834
97.457502,100,329.756461
92.487026,100,330.198828
77.438764,100,330.639553
77.39773,100,331.006932
90.353666,100,331.401038
97.19764,100,331.800698
91.805932,100,332.18762
74.348635,100,332.56803
70.920259,100,332.909936
85.20043,100,333.257231
76.81941,100,333.596067
76.414338,100,333.951391
84.513504,100,334.305906
83.440301,100,334.667738
80.359304,100,335.048574
80.199129,100,335.412402
75.974957,100,335.776392
84.184363,100,336.12461
97.782298,100,336.512194
73.395319,100,336.857026
84.50533,100,337.29144
76.140243,100,337.642186
76.368535,100,337.994627
76.394615,100,338.350919
87.464139,100,338.716031
96.254226,100,339.096244
74.391898,100,339.450672
96.640555,100,339.845946
83.323996,100,340.204396
75.503981,100,340.581396
98.461702,100,340.985554
82.145106,100,341.339745
97.471221,100,341.709205
85.141589,100,342.059496
78.050349,100,342.4073
96.83754,100,342.785592
83.649708,100,343.134402
78.623645,100,343.475883
77.806171,100,343.841921
83.242736,100,344.282207
72.449196,100,344.686341
92.538227,100,345.069661
81.618487,100,345.456659
93.970235,100,345.817008
88.167409,100,346.175368
85.21014,100,346.526731
90.148679,100,346.885062
81.222243,100,347.235662
83.103315,100,347.660143
92.103635,100,348.095422
79.932013,100,348.447529
96.236029,100,348.833227
97.690178,100,349.260162
81.393081,100,349.632234
78.399226,100,349.982091
77.095281,100,350.323504
82.60108,100,350.688098
95.606463,100,351.078425
80.858108,100,351.430348
82.567427,100,351.783616
95.648798,100,352.170717
85.680583,100,352.612501
97.115736,100,352.984513
78.395664,100,353.338875
82.768841,100,353.692471
82.972296,100,354.055394
80.124225,100,354.437503
79.111968,100,354.93246
84.688638,100,355.283647
79.031804,100,355.679135
78.530829,100,356.036141
87.583467,100,356.388581
96.917682,100,356.866498
83.668329,100,357.272754
90.452595,100,357.64423
83.44258,100,357.992337
94.209371,100,358.347672
94.529629,100,358.701393
96.902747,100,359.072324
77.695382,100,359.41692
94.24382,100,359.810569
97.07959,100,360.203449
78.922076,100,360.570957
77.211197,100,360.946228
95.53713,100,361.31628
76.072244,100,361.668744
81.460002,100,362.037533
77.76036,100,362.385441
84.55806,100,362.735191
75.572919,100,363.078548
87.952843,100,363.435466
83.052852,100,363.836131
83.31996,100,364.181756
83.764389,100,364.538607
92.742448,100,364.930568
78.330313,100,365.302925
78.903631,100,365.641466
83.452724,100,365.995577
84.135073,100,366.346353
80.86673,100,366.701559
89.32159,100,367.082755
83.137694,100,367.467517
79.460915,100,367.862266
83.855861,100,368.219212
85.753685,100,368.572654
79.345736,100,368.917793
78.733846,100,369.264733
91.568981,100,369.677346
77.489637,100,370.024957
79.595694,100,370.372879
93.691884,100,370.732854
80.088212,100,371.084293
83.666518,100,371.434438
79.064293,100,371.784019
