#{"t_start": 1677146291.60092, "env_id": "TestEnvironment-v1"}
r,l,t
58.944826,100,155.306853
61.086527,100,155.58434
69.442337,100,155.878335
45.802845,100,156.19381
56.296677,100,156.461872
49.413333,100,156.774776
70.252475,100,157.050922
46.350024,100,157.351508
58.286547,100,157.635777
70.829415,100,157.912344
57.457413,100,158.177111
72.223591,100,158.46066
57.758737,100,158.757166
41.322721,100,159.039097
68.357835,100,159.305972
58.327181,100,159.648959
25.870843,100,159.947288
65.405991,100,160.248053
71.956644,100,160.522108
70.165909,100,160.796136
59.706974,100,161.150708
52.715035,100,161.480742
65.254293,100,161.755244
71.071714,100,162.04041
72.519798,100,162.341885
57.843996,100,162.639829
59.752065,100,162.908143
74.500381,100,163.224855
69.228477,100,163.515089
28.430553,100,163.788785
57.764336,100,164.066341
53.167302,100,164.3344
54.659232,100,164.607932
58.363655,100,164.882071
49.895847,100,165.152116
69.38467,100,165.449812
70.038873,100,165.732384
72.314615,100,166.042325
71.429094,100,166.412
34.615236,100,166.694622
72.036927,100,166.988996
72.274415,100,167.274728
70.740852,100,167.552989
75.78152,100,167.867579
53.398073,100,168.220759
62.037463,100,168.558041
69.939303,100,168.877241
74.153343,100,169.190699
67.852359,100,169.477211
64.247528,100,169.760357
60.681513,100,170.040119
74.293277,100,170.313236
57.248809,100,170.585281
49.023429,100,170.85816
71.206406,100,171.132981
32.36016,100,171.411899
49.513718,100,171.707939
58.41467,100,171.987998
60.638702,100,172.261487
58.78134,100,172.552053
72.003944,100,172.830642
65.858836,100,173.118947
70.795186,100,173.419745
71.739992,100,173.704036
27.386522,100,173.985904
72.334836,100,174.286891
61.949893,100,174.592075
77.581109,100,174.93924
70.02841,100,175.257076
57.232135,100,175.547114
65.748364,100,175.81208
71.329398,100,176.098664
31.335387,100,176.404515
72.396625,100,176.694523
66.522601,100,177.010515
62.468516,100,177.310906
60.573595,100,177.586602
41.418658,100,177.855692
33.331692,100,178.13127
76.563925,100,178.43412
69.922961,100,178.703299
67.288191,100,178.985962
69.618856,100,179.266321
71.57116,100,179.551001
40.168765,100,179.83053
43.771756,100,180.105693
52.754476,100,180.383057
67.837582,100,180.66418
66.32581,100,180.939988
35.427459,100,181.213583
61.84469,100,181.491597
76.132783,100,181.785157
48.331803,100,182.055096
60.464437,100,182.32728
55.859282,100,182.595182
69.337276,100,182.868535
72.42401,100,183.137564
73.118056,100,183.409785
35.99039,100,183.673907
70.605261,100,183.941327
67.273287,100,184.210884
74.327809,100,184.514955
65.966844,100,184.826788
74.278681,100,185.152906
33.402038,100,185.468026
64.254847,100,185.759403
73.758805,100,186.060474
67.6372,100,186.334167
48.782484,100,186.625653
72.436371,100,186.89697
70.287811,100,187.206267
51.478249,100,187.482793
70.634775,100,187.748435
70.203436,100,188.046538
71.148692,100,188.338769
63.887718,100,188.611337
71.177594,100,188.878978
37.765021,100,189.153108
29.919578,100,189.428713
46.897578,100,189.694888
41.852566,100,189.993972
55.897925,100,190.360307
72.966649,100,190.647971
69.135749,100,190.95261
46.642448,100,191.289695
67.451617,100,191.614199
51.543268,100,191.894206
59.043398,100,192.16869
33.396296,100,192.456038
65.65084,100,192.791634
72.231197,100,193.09191
29.262021,100,193.398318
75.042514,100,193.72772
71.322627,100,194.021632
39.304036,100,194.314066
55.216531,100,194.590014
69.467303,100,194.962264
65.703622,100,195.255566
68.486525,100,195.53017
49.575833,100,195.822198
29.542002,100,196.175941
63.318963,100,196.484114
26.452242,100,196.758098
71.385102,100,197.04276
68.036386,100,197.317445
58.563347,100,197.598443
68.408304,100,197.886452
63.517575,100,198.166498
32.132425,100,198.452644
46.628238,100,198.742147
75.512271,100,199.051319
72.35639,100,199.386697
66.149643,100,199.666769
38.793475,100,199.98063
71.929801,100,200.290153
72.643136,100,200.60695
69.796961,100,200.883247
76.919616,100,201.177558
66.557974,100,201.453822
68.534259,100,201.726197
48.384092,100,202.018568
55.657482,100,202.33339
68.776855,100,202.608611
77.862879,100,202.911893
59.50271,100,203.195788
43.677864,100,203.470252
76.637377,100,203.77463
40.745184,100,204.08058
59.910089,100,204.37834
75.000644,100,204.703851
49.389554,100,204.998671
64.449997,100,205.308528
31.290417,100,205.59163
68.463118,100,205.874254
67.504879,100,206.156724
49.684324,100,206.448088
51.46265,100,206.739354
66.05644,100,207.028673
61.541788,100,207.304852
58.490748,100,207.591378
59.074452,100,207.884858
77.811857,100,208.189142
46.096987,100,208.473437
53.452844,100,208.753686
49.868974,100,209.075732
60.322682,100,209.35449
51.323285,100,209.656256
66.95639,100,209.938995
43.636724,100,210.229136
77.343863,100,210.577708
62.072113,100,210.865812
70.831452,100,211.178221
43.317851,100,211.457304
28.167353,100,211.729053
69.234138,100,212.008501
76.233128,100,212.395349
72.633715,100,212.749113
72.156357,100,213.043915
61.610393,100,213.382816
73.696899,100,213.720749
45.07076,100,214.027888
49.631632,100,214.368639
27.279674,100,214.649802
53.166992,100,214.942264
71.733968,100,215.223131
66.085374,100,215.501339
67.54576,100,215.805594
77.826919,100,216.143772
60.927286,100,216.438881
54.351889,100,216.776097
49.246431,100,217.079734
66.640162,100,217.406139
51.580795,100,217.719519
76.791119,100,218.012724
35.030025,100,218.289261
45.452874,100,218.566682
73.073142,100,218.870901
54.578854,100,219.249757
50.91984,100,219.589759
59.519086,100,219.863828
54.579341,100,220.162929
50.985961,100,220.46218
62.155212,100,220.749549
67.304038,100,221.046211
42.123473,100,221.325091
50.928787,100,221.599663
67.525008,100,221.906923
54.482962,100,222.209934
52.666191,100,222.498514
47.571458,100,222.775007
41.579733,100,223.044878
55.366575,100,223.323246
75.129819,100,223.626455
59.653564,100,223.911233
31.48639,100,224.192784
60.920997,100,224.4936
69.34207,100,224.780025
25.617009,100,225.07104
70.534651,100,225.372313
55.684315,100,225.662915
56.982524,100,225.954367
79.719896,100,226.281467
70.684631,100,226.604197
65.049144,100,226.907156
71.215144,100,227.235289
60.928179,100,227.526172
68.57658,100,227.851754
55.523445,100,228.135701
72.671489,100,228.480787
72.078978,100,228.838147
70.900337,100,229.289464
36.344426,100,229.724707
50.99321,100,230.070346
70.56989,100,230.484347
73.593822,100,230.831642
67.812261,100,231.136169
62.814789,100,231.430908
38.940361,100,231.718225
66.097272,100,232.004618
44.635213,100,232.291287
41.576983,100,232.573193
51.523539,100,232.867309
32.319372,100,233.171766
72.041981,100,233.469486
65.367936,100,233.772535
38.488438,100,234.096113
55.938392,100,234.404923
51.727844,100,234.689211
52.021419,100,234.977328
57.447073,100,235.257692
71.134441,100,235.55074
72.599395,100,235.836319
36.471853,100,236.125754
70.673321,100,236.452045
51.944172,100,236.736421
70.20909,100,237.02918
65.776374,100,237.311897
70.449042,100,237.627327
66.999985,100,237.942718
69.716931,100,238.292105
46.351829,100,238.61759
40.066938,100,238.914098
42.937834,100,239.20024
69.018514,100,239.48449
41.978213,100,239.784269
66.889023,100,240.085005
74.213514,100,240.396866
72.610457,100,240.693282
64.860489,100,240.981371
78.587306,100,241.302716
79.577934,100,241.633544
60.006258,100,241.939934
73.060266,100,242.274147
70.492309,100,242.57945
42.316534,100,242.926868
56.424623,100,243.224705
41.198004,100,243.530162
57.406267,100,243.828875
66.355059,100,244.159011
68.611039,100,244.473962
71.394987,100,244.769673
70.561377,100,245.070428
41.947823,100,245.355536
64.595187,100,245.643447
40.93984,100,245.928089
37.075625,100,246.269728
49.284889,100,246.592931
48.947648,100,246.878431
48.128058,100,247.203349
70.977468,100,247.487249
52.579712,100,247.771136
70.409206,100,248.063805
49.278868,100,248.358186
46.196751,100,248.658707
55.884877,100,248.961734
43.438197,100,249.246492
67.742753,100,249.52387
69.487993,100,249.810005
80.423509,100,250.128552
79.477748,100,250.456874
70.267049,100,250.778223
72.35978,100,251.061938
62.031903,100,251.355686
58.400139,100,251.660366
69.298467,100,251.952107
39.84503,100,252.262733
67.433202,100,252.560719
58.331941,100,252.870276
72.838266,100,253.175129
37.907786,100,253.456813
55.074079,100,253.741183
35.666129,100,254.055318
71.827089,100,254.35323
